"LOYALTYIDNUMBER"|"MEMBERID"|"PROFILECOMPLETEFLAG"|"PROFILECOMPLETEDATE"|"PROFILECOMPLETESTOREID"|"PROFILECOMPLETEASSOCIATEID"|"PROFILECOMPLETECSAGENTID"|"PROFILECOMPLETESOURCE"|"PROFILECOMPLETEDEVICETYPE"|"PROFILECOMPLETEREWARDED"|"PROFILEUPDATEDATE"|"PROFILEUPDATESTOREID"|"PROFILEUPDATEASSOCIATEID"|"PROFILEUPDATECSAGENTID"|"PROFILEUPDATESOURCE"|"PROFILEUPDATEDEVICETYPE"
"1000000009320"|9297|"Yes"|"20201116135903"|168|322322322||"257"|"POS"|"No"|"20201216103251"|42|174174174||"257"|"POS"
"1000000009322"|9299|"Yes"|"20201201095959"|2400||37234575|"257"|"CS_PORTAL"|"No"|"20201215215742"|168|322322322||"257"|"POS"
"1000245226840"|17223078|"Yes"|"20201202133604"||99999999||"7"|"4"|"No"|"20201215111314"||99999999||"7"|"2"
"1000255154812"|17385365|"Yes"|"20201209084614"||99999999||"7"|"4"|"No"|"20201218075213"||99999999||"7"|"2"
"1000255153312"|17385350|"Yes"|"20201210143002"||99999999||"7"|"4"|"No"|"20201218071906"||99999999||"7"|"2"
"1000255155412"|17385371|"Yes"|"20201210144237"||99999999||"7"|"4"|"No"|"20201218075018"||99999999||"7"|"2"
"1000255155612"|17385373|"Yes"|"20201210145514"||99999999||"7"|"4"|"No"|"20201218072029"||99999999||"7"|"2"
"1000255166812"|17390392|"Yes"|"20201215104218"||123456789||"256"|"mPOS"|"No"|"20201215104233"||123456789||"256"|""
"1000255166912"|17390393|"Yes"|"20201215104234"||123456789||"257"|""|"No"|"20201215104310"|2400||18709492|"257"|"CS_PORTAL"
"1000255167012"|17390394|"Yes"|"20201215104242"||123456789||"256"|"mPOS"|"No"|"20201215104253"||123456789||"256"|""
"1000255167112"|17390395|"Yes"|"20201215104254"||123456789||"257"|""|"No"|""||||""|""
"1000255167212"|17390396|"Yes"|"20201215104302"||123456789||"256"|"mPOS"|"No"|"20201215104313"||123456789||"256"|""
"1000255167312"|17390397|"Yes"|"20201215104314"||123456789||"257"|""|"No"|""||||""|""
"1000255167412"|17390398|"Yes"|"20201215104322"||123456789||"256"|"mPOS"|"No"|"20201215104333"||123456789||"256"|""
"1000255167512"|17390399|"Yes"|"20201215104334"||123456789||"257"|""|"No"|""||||""|""
"1000255167612"|17390400|"Yes"|"20201215104342"||123456789||"256"|"mPOS"|"No"|"20201215104353"||123456789||"256"|""
"1000255167712"|17390401|"Yes"|"20201215104354"||123456789||"257"|""|"No"|"20201215104825"|2400||18709492|"257"|"CS_PORTAL"
"1000255168812"|17390412|"Yes"|"20201215164247"||99999999||"7"|"2"|"No"|""||||""|""
"1000000009324"|9301|"Yes"|"20201215215057"|168|322322322||"2"|"POS"|"No"|""||||""|""
"1000000012926"|12903|"Yes"|"20201117025642"|42|174174174||"257"|"POS"|"No"|"20201216075027"|42|174174174||"257"|"POS"
"1000255169512"|17390419|"Yes"|"20201216114524"||99999999||"7"|"2"|"No"|""||||""|""
"1000255170312"|17390427|"Yes"|"20201216123543"||99999999||"4"|"5"|"No"|""||||""|""
"1000255170412"|17390428|"Yes"|"20201216123846"||99999999||"4"|"5"|"No"|""||||""|""
"1000255170512"|17390429|"Yes"|"20201216124135"||99999999||"4"|"5"|"No"|""||||""|""
"1000255170212"|17390426|"Yes"|"20201216124329"||99999999||"4"|"2"|"No"|""||||""|""
"1000255170112"|17390425|"Yes"|"20201216130703"||99999999||"7"|"5"|"No"|""||||""|""
"1000255170012"|17390424|"Yes"|"20201216131750"||99999999||"7"|"5"|"No"|""||||""|""
"1000255169912"|17390423|"Yes"|"20201216133303"||99999999||"7"|"2"|"No"|""||||""|""
"1000255163312"|17390357|"Yes"|"20201217063738"||99999999||"7"|"5"|"No"|""||||""|""
"1000255174712"|17390471|"Yes"|"20201218072616"||99999999||"7"|"2"|"No"|""||||""|""
"1000255174812"|17390472|"Yes"|"20201218072924"||99999999||"7"|"2"|"No"|""||||""|""
"1000255163812"|17390362|"Yes"|"20201217065718"||99999999||"7"|"2"|"No"|""||||""|""
"1000255163912"|17390363|"Yes"|"20201217132210"||99999999||"4"|"5"|"No"|""||||""|""
"1000255171912"|17390443|"Yes"|"20201217152933"||99999999||"1"|"2"|"No"|""||||""|""
"1000255176412"|17390488|"Yes"|"20201218083611"||99999999||"1"|"2"|"No"|""||||""|""
"1000255163512"|17390359|"Yes"|"20201217064159"||99999999||"7"|"5"|"No"|""||||""|""
"1000255163412"|17390358|"Yes"|"20201217064957"||99999999||"7"|"2"|"No"|""||||""|""
"1000255163612"|17390360|"Yes"|"20201217065313"||99999999||"7"|"2"|"No"|""||||""|""
"1000255173312"|17390457|"Yes"|"20201217092806"|2400||35554672|"257"|"CS_PORTAL"|"No"|"20201217092954"|2400||35554672|"257"|"CS_PORTAL"
"1000255171612"|17390440|"Yes"|"20201217130208"||99999999||"1"|"2"|"No"|"20201217152007"||99999999||"1"|"2"
"1000255174512"|17390469|"Yes"|"20201217133710"||123456789||"257"|""|"No"|""||||""|""
"1000255168212"|17390406|"Yes"|"20201217133845"||99999999||"4"|"2"|"No"|""||||""|""
"1000255164612"|17390370|"Yes"|"20201217153440"||99999999||"1"|"2"|"No"|""||||""|""
