"VCKEY"|"LOYALTYIDNUMBER"|"MEMBERID"|"LINKKEY"|"DATEISSUED"|"DATEREGISTERED"|"STATUS"|"NEWSTATUS"|"NEWSTATUSEFFECTIVEDATE"|"STATUSCHANGEREASON"|"ISPRIMARY"|"CARDTYPE"|"EXPIRATIONDATE"
8446588|"1000255168112"|17390405||"20201215131030"|"20201215131030"|1||""|""|1|0|""
8446589|"1000255168212"|17390406||"20201215131907"|"20201215131907"|1||""|""|1|0|""
8446590|"1000255168312"|17390407||"20201215132310"|"20201215132310"|1||""|""|1|0|""
8446591|"1000255168412"|17390408||"20201215132910"|"20201215132910"|1||""|""|1|0|""
8446592|"1000255168512"|17390409||"20201215135913"|"20201215135913"|1||""|""|1|0|""
8446595|"1000255168812"|17390412||"20201215142328"|"20201215142328"|1||""|""|1|0|""
8446596|"1000255168912"|17390413||"20201215143719"|"20201215143719"|1||""|""|1|0|""
8446602|"1000255169512"|17390419||"20201215151353"|"20201215151353"|1||""|""|1|0|""
8446606|"1000255169912"|17390423||"20201215153741"|"20201215153741"|1||""|""|1|0|""
8446607|"1000255170012"|17390424||"20201215154933"|"20201215154933"|1||""|""|1|0|""
8446608|"1000255170112"|17390425||"20201215160237"|"20201215160237"|1||""|""|1|0|""
8446609|"1000255170212"|17390426||"20201215160744"|"20201215160744"|1||""|""|1|0|""
8446610|"1000255170312"|17390427||"20201215161340"|"20201215161340"|1||""|""|1|0|""
8446611|"1000255170412"|17390428||"20201215161854"|"20201215161854"|1||""|""|1|0|""
8446612|"1000255170512"|17390429||"20201215162528"|"20201215162528"|1||""|""|1|0|""
8446613|"1000255170612"|17390430||"20201215172318"|"20201215172318"|1||""|""|1|0|""
8446614|"1000255170712"|17390431||"20201215180502"|"20201215180502"|1||""|""|1|0|""
8446615|"1000255170812"|17390432||"20201215181350"|"20201215181350"|1||""|""|1|0|""
8446616|"1000255170912"|17390433||"20201215182231"|"20201215182231"|1||""|""|1|0|""
8446617|"1000255171012"|17390434||"20201215194855"|"20201215194855"|1||""|""|1|0|""
8446618|"1000255171112"|17390435||"20201215214323"|"20201215214323"|1||""|""|1|0|""
8446619|"1000255171212"|17390436||"20201215220659"|"20201215220659"|1||""|""|1|0|""
8446620|"1000255171312"|17390437||"20201216075448"|"20201216075448"|1||""|""|1|0|""
8446593|"1000255168612"|17390410||"20201215140203"|"20201215140203"|1|4|"20201216090727"|"Membership being cancelled"|1|0|""
8446594|"1000255168712"|17390411||"20201215141456"|"20201215141456"|1|4|"20201216090858"|"Membership being cancelled"|1|0|""
8446597|"1000255169012"|17390414||"20201215145312"|"20201215145312"|1|4|"20201216091044"|"Membership being cancelled"|1|0|""
8446598|"1000255169112"|17390415||"20201215145546"|"20201215145546"|1|4|"20201216091401"|"Membership being cancelled"|1|0|""
8446599|"1000255169212"|17390416||"20201215145712"|"20201215145712"|1|4|"20201216091441"|"Membership being cancelled"|1|0|""
8446605|"1000255169812"|17390422||"20201215152914"|"20201215152914"|1|4|"20201216092140"|"Membership being cancelled"|1|0|""
8446604|"1000255169712"|17390421||"20201215152644"|"20201215152644"|4||""|"Membership being cancelled"|1|0|""
8446603|"1000255169612"|17390420||"20201215152419"|"20201215152419"|4||""|"Membership being cancelled"|1|0|""
8446601|"1000255169412"|17390418||"20201215150955"|"20201215150955"|4||""|"Membership being cancelled"|1|0|""
8446600|"1000255169312"|17390417||"20201215150829"|"20201215150829"|4||""|"Membership being cancelled"|1|0|""
8446621|"1000255171412"|17390438||"20201216101521"|"20201216101521"|1||""|""|1|0|""
8446622|"1000255171512"|17390439||"20201216120124"|"20201216120124"|1||""|""|1|0|""
8446623|"1000255171612"|17390440||"20201216123457"|"20201216123457"|1||""|""|1|0|""
8446624|"1000255171712"|17390441||"20201216133604"|"20201216133604"|1||""|""|1|0|""
8446625|"1000255171812"|17390442||"20201216135005"|"20201216135005"|1||""|""|1|0|""
8446626|"1000255171912"|17390443||"20201216143653"|"20201216143653"|1||""|""|1|0|""
8446627|"1000255172012"|17390444||"20201216151007"|"20201216151007"|1||""|""|1|0|""
8446628|"1000255172112"|17390445||"20201216151557"|"20201216151557"|1||""|""|1|0|""
8446629|"1000255172212"|17390446||"20201216151830"|"20201216151830"|1||""|""|1|0|""
8446630|"1000255172312"|17390447||"20201216151949"|"20201216151949"|1||""|""|1|0|""
8446631|"1000255172412"|17390448||"20201216152116"|"20201216152116"|1||""|""|1|0|""
8446632|"1000255172512"|17390449||"20201216152859"|"20201216152859"|1||""|""|1|0|""
8446633|"1000255172612"|17390450||"20201216153058"|"20201216153058"|1||""|""|1|0|""
8446634|"1000255172712"|17390451||"20201216153629"|"20201216153629"|1||""|""|1|0|""
8446635|"1000255172812"|17390452||"20201216153814"|"20201216153814"|1||""|""|1|0|""
8446636|"1000255172912"|17390453||"20201216154108"|"20201216154108"|1||""|""|1|0|""
8441606|"1000255160612"|17385423||"20201217035251"|"20201217035251"|1||""|""|1|0|""
8446637|"1000255173012"|17390454||"20201217044133"|"20201217044133"|1||""|""|1|0|""
8446638|"1000255173112"|17390455||"20201217085412"|"20201217085412"|1||""|""|1|0|""
8446639|"1000255173212"|17390456||"20201217091805"|"20201217091805"|1||""|""|1|0|""
8446640|"1000255173312"|17390457||"20201217092320"|"20201217092320"|1||""|""|1|0|""
8446641|"1000255173412"|17390458||"20201217104107"|"20201217104107"|1||""|""|1|0|""
8446642|"1000255173512"|17390459||"20201217105142"|"20201217105142"|1||""|""|1|0|""
8446643|"1000255173612"|17390460||"20201217105353"|"20201217105353"|1||""|""|1|0|""
8446644|"1000255173712"|17390461||"20201217110647"|"20201217110647"|1||""|""|1|0|""
8446645|"1000255173812"|17390462||"20201217112031"|"20201217112031"|1||""|""|1|0|""
8446646|"1000255173912"|17390463||"20201217121400"|"20201217121400"|1||""|""|1|0|""
8446647|"1000255174012"|17390464||"20201217121605"|"20201217121605"|1||""|""|1|0|""
8446648|"1000255174112"|17390465||"20201217123351"|"20201217123351"|1||""|""|1|0|""
8446649|"1000255174212"|17390466||"20201217123804"|"20201217123804"|1||""|""|1|0|""
8446650|"1000255174312"|17390467||"20201217124543"|"20201217124543"|1||""|""|1|0|""
8446651|"1000255174412"|17390468||"20201217133655"|"20201217133655"|1||""|""|1|0|""
8446652|"1000255174512"|17390469||"20201217133655"|"20201217133655"|1||""|""|1|0|""
8446653|"1000255174612"|17390470||"20201218070656"|"20201218070656"|1||""|""|1|0|""
8446654|"1000255174712"|17390471||"20201218072244"|"20201218072244"|1||""|""|1|0|""
8446655|"1000255174812"|17390472||"20201218072805"|"20201218072805"|1||""|""|1|0|""
8446656|"1000255174912"|17390473||"20201218073230"|"20201218073230"|1||""|""|1|0|""
8446657|"1000255175012"|17390474||"20201218073544"|"20201218073544"|1||""|""|1|0|""
8446658|"1000255175112"|17390475||"20201218073840"|"20201218073840"|1||""|""|1|0|""
8446659|"1000255175212"|17390476||"20201218075424"|"20201218075424"|1||""|""|1|0|""
8446660|"1000255175312"|17390477||"20201218075656"|"20201218075656"|1||""|""|1|0|""
8446661|"1000255175412"|17390478||"20201218075815"|"20201218075815"|1||""|""|1|0|""
8446662|"1000255175512"|17390479||"20201218075927"|"20201218075927"|1||""|""|1|0|""
8446663|"1000255175612"|17390480||"20201218080335"|"20201218080335"|1||""|""|1|0|""
8446664|"1000255175712"|17390481||"20201218080352"|"20201218080352"|1||""|""|1|0|""
8446665|"1000255175812"|17390482||"20201218080959"|"20201218080959"|1||""|""|1|0|""
8446666|"1000255175912"|17390483||"20201218081207"|"20201218081207"|1||""|""|1|0|""
8446667|"1000255176012"|17390484||"20201218081415"|"20201218081415"|1||""|""|1|0|""
8446668|"1000255176112"|17390485||"20201218081928"|"20201218081928"|1||""|""|1|0|""
8446669|"1000255176212"|17390486||"20201218081957"|"20201218081957"|1||""|""|1|0|""
8446670|"1000255176312"|17390487||"20201218082249"|"20201218082249"|1||""|""|1|0|""
8446671|"1000255176412"|17390488||"20201218083036"|"20201218083036"|1||""|""|1|0|""
8446672|"1000255176512"|17390489||"20201218083744"|"20201218083744"|1||""|""|1|0|""
8446673|"1000255176612"|17390490||"20201218084053"|"20201218084053"|1||""|""|1|0|""
8446674|"1000255176712"|17390491||"20201218084343"|"20201218084343"|1||""|""|1|0|""
8446675|"1000255176812"|17390492||"20201218084747"|"20201218084747"|1||""|""|1|0|""
8446676|"1000255176912"|17390493||"20201218085332"|"20201218085332"|1||""|""|1|0|""
